@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44}

@data
507,'2020/10/15 21:39:10:336',546,10.825239,0.285618,-0.112682,766.605225,34.744877,2.575817,13.710295,1.652546,-0.150118,5.437219,0.408637,-0.047151,3.284304,-0.02586,0.001435,23
508,'2020/10/15 21:39:10:902',547,0.695189,3.776377,-0.351813,561.814392,-22.331366,7.759948,14.802361,19.506762,-1.954166,6.758584,-0.182539,-0.011615,5.073947,0.444061,-0.072705,24
509,'2020/10/15 21:39:11:584',548,9.250741,-0.343115,0.026825,1035.968384,36.097198,-0.692476,11.254053,0.28287,-0.026196,8.223758,-0.86043,0.046685,2.618766,-0.044088,0.001038,25
510,'2020/10/15 21:39:12:406',549,13.568679,-0.782513,0.030823,1103.580322,-10.518157,0.125837,20.816917,0.545965,-0.012242,3.700253,0.132801,0.00608,3.367458,0.005866,0.000303,26
511,'2020/10/15 21:39:13:163',550,8.993707,-0.668305,0.045584,1100.777954,-15.460274,-0.059565,27.698372,0.222936,-0.012453,5.729044,-0.298737,0.016422,3.83314,0.020838,-0.001462,27
512,'2020/10/15 21:39:14:038',551,9.524099,-0.168214,0.018186,521.826416,108.417343,-3.767644,49.323406,-4.472254,0.200126,6.37517,-0.368542,0.016787,5.057824,-0.314583,0.013957,28
513,'2020/10/15 21:39:14:901',552,8.333316,-0.062789,0.013592,799.175476,38.701088,-1.921038,83.27327,-5.864609,0.196294,3.673405,0.332824,-0.005423,6.83439,-0.359587,0.012733,29
514,'2020/10/15 21:39:15:712',553,5.145341,0.561142,-0.012938,330.16095,105.744347,-3.457759,47.912701,-1.98913,0.028709,6.582795,-0.093285,0.008772,5.358049,-0.179107,0.003191,30
515,'2020/10/15 21:39:16:544',554,4.71784,0.179175,0.013545,942.658508,44.173283,-1.734479,1.754054,3.638879,-0.084357,6.428777,-0.279256,0.015583,2.152363,0.179529,-0.003362,31
516,'2020/10/15 21:39:17:334',555,11.730976,-1.195773,0.060007,1137.312988,-36.901131,0.74452,4.462267,4.395012,-0.066075,6.153564,-0.388243,0.02226,2.356482,0.243433,-0.003626,32
